#Types Before Cut: 11091
#Types After Cut: 9660
#Search Hits: 0
242	13	34.908	твои
243	13	34.908	учились
244	20	34.500	другому
245	17	34.073	получилось
246	17	34.073	пошла
247	15	33.403	будешь
248	15	33.403	поняла
249	18	32.926	дом
250	12	32.223	берег
251	12	32.223	весело
252	12	32.223	квартиру
253	12	32.223	круто
254	12	32.223	любят
255	12	32.223	поговорить
256	12	32.223	пятьдесят
257	12	32.223	смешно
258	34	32.217	голос
259	20	31.712	дочка
260	16	31.617	языке
261	113	31.376	даже
262	14	30.851	домой
263	14	30.851	любит
264	17	30.557	давайте
265	26	29.683	самое
266	26	29.683	смысле
267	11	29.538	inan
268	11	29.538	девяносто
269	11	29.538	здорово
270	11	29.538	знала
271	11	29.538	кадра
272	11	29.538	классно
273	11	29.538	кхм
274	11	29.538	понимаешь
275	11	29.538	расскажу
276	11	29.538	рассказчик
277	11	29.538	смеётся
278	11	29.538	смотри
279	11	29.538	соседка
280	11	29.538	училась
281	11	29.538	холодно
282	19	29.483	младший
283	24	29.306	принципе
284	36	29.234	две
285	15	29.175	понял
286	21	29.137	жить
287	21	29.137	хоть
288	156	29.000	или
289	49	28.677	всегда
290	28	28.649	таки
291	13	28.309	девочка
292	13	28.309	концерт
293	13	28.309	честно
294	16	28.206	школа
295	17	27.621	моей
296	18	27.277	понимаю
297	19	27.098	н
298	19	27.098	слово
299	21	27.071	язык
300	10	26.853	бывают
301	10	26.853	вкус
302	10	26.853	восемьдесят
303	10	26.853	дедушка
304	10	26.853	ехать
305	10	26.853	забыл
306	10	26.853	иии
307	10	26.853	картинка
308	10	26.853	кашель
309	10	26.853	нуу
310	10	26.853	озеро
311	10	26.853	пол
312	10	26.853	прикольно
313	10	26.853	ребята
314	10	26.853	своё
315	10	26.853	слушай
316	10	26.853	смешок
317	10	26.853	ушёл
318	27	26.835	моя
319	14	26.748	собственно
320	50	25.901	день
321	15	25.875	ж
322	12	25.778	вдруг
323	12	25.778	делаю
324	12	25.778	детстве
325	12	25.778	купил
326	22	25.380	какую
327	22	25.380	часов
328	16	25.370	читать
329	35	24.377	четыре
330	13	24.339	какими
331	13	24.339	маленький
332	13	24.339	машина
333	13	24.339	семья
334	13	24.339	смотреть
335	13	24.339	ходить
336	9	24.167	n
337	9	24.167	ар
338	9	24.167	видишь
339	9	24.167	грустный
340	9	24.167	двенадцать
341	9	24.167	двести
342	9	24.167	женщина
343	9	24.167	кошки
344	9	24.167	папа
345	9	24.167	переехали
346	9	24.167	подожди
347	9	24.167	смесь
348	9	24.167	танцами
349	9	24.167	твой
350	9	24.167	учителя
351	9	24.167	чай
352	9	24.167	эмм
353	29	23.714	старший
354	146	23.658	был
355	14	23.566	d
356	14	23.566	мои
357	14	23.566	хотелось
358	39	23.543	людей
359	28	23.267	совсем
360	11	23.259	давали
361	11	23.259	девочки
362	11	23.259	квартире
363	15	23.144	играть
364	16	22.938	видео
365	18	22.925	тему
366	17	22.879	кем
367	27	22.827	каждый
368	27	22.827	слова
369	29	22.556	сама
370	12	21.951	нравятся
371	30	21.934	чего
372	21	21.866	долго
373	20	21.568	друг
374	20	21.568	места
375	8	21.482	acc
376	8	21.482	komm
377	8	21.482	nom
378	8	21.482	ааa
379	8	21.482	английский
380	8	21.482	брови
381	8	21.482	вертолет
382	8	21.482	говорящийа
383	8	21.482	говорящийб
384	8	21.482	делаешь
385	8	21.482	егэ
386	8	21.482	замечательно
387	8	21.482	звук
388	8	21.482	иду
389	8	21.482	интересного
390	8	21.482	колесико
391	8	21.482	любишь
392	8	21.482	лёва
393	8	21.482	мамой
394	8	21.482	мемы
395	8	21.482	моих
396	8	21.482	надя
397	8	21.482	неудобно
398	8	21.482	никит
399	8	21.482	одиннадцать
400	8	21.482	поехал
401	8	21.482	прихожу
402	8	21.482	смотрел
403	8	21.482	смотрела
404	8	21.482	типо
405	8	21.482	умер
406	8	21.482	учился
407	8	21.482	учится
408	8	21.482	хе
409	8	21.482	эт
410	19	21.303	павел
411	13	21.282	бывает
412	13	21.282	говорила
413	13	21.282	специально
414	18	21.081	русский
415	14	20.946	вещи
416	14	20.946	надеюсь
417	16	20.814	девять
418	10	20.756	дед
419	10	20.756	интересные
420	10	20.756	рассказывала
421	10	20.756	собака
422	36	20.268	одна
423	40	19.952	говорить
424	11	19.586	будто
425	12	19.027	делали
426	12	19.027	купить
427	12	19.027	семье
428	16	18.934	реально
429	7	18.797	бабушкой
430	7	18.797	боже
431	7	18.797	буквы
432	7	18.797	двери
433	7	18.797	детство
434	7	18.797	детьми
435	7	18.797	друзьями
436	7	18.797	ездить
437	7	18.797	ехали
438	7	18.797	живёт
439	7	18.797	забыла
440	7	18.797	задание
441	7	18.797	карл
442	7	18.797	квартиры
443	7	18.797	красивый
444	7	18.797	ненавижу
445	7	18.797	нету
446	7	18.797	ноль
447	7	18.797	одни
448	7	18.797	парень
449	7	18.797	понравилась
450	7	18.797	пошёл
451	7	18.797	пытаюсь
452	7	18.797	ребят
453	7	18.797	секунд
454	7	18.797	скажи
455	7	18.797	сорок
456	7	18.797	супер
457	7	18.797	троих
458	7	18.797	троллейбус
459	7	18.797	человечек
460	7	18.797	читаю
461	7	18.797	чё
462	13	18.780	другую
463	27	18.402	ей
464	9	18.271	брали
465	9	18.271	друзей
466	9	18.271	едем
467	9	18.271	жил
468	9	18.271	институте
469	9	18.271	историю
470	9	18.271	маленькая
471	9	18.271	смеется
472	9	18.271	твоя
473	19	18.249	хотел
474	17	17.556	разные
475	29	17.529	соответственно
476	23	17.504	равно
477	16	17.254	уж
478	10	17.250	написано
479	11	16.806	знаете
480	11	16.806	посмотреть
481	11	16.806	пошел
482	11	16.806	скажем
483	13	16.665	улице
484	13	16.665	языка
485	21	16.569	виктор
486	25	16.423	лучше
487	6	16.112	distinct
488	6	16.112	onion
489	6	16.112	part
490	6	16.112	автобусе
491	6	16.112	ам
492	6	16.112	антифриз
493	6	16.112	бабуля
494	6	16.112	бабушки
495	6	16.112	бешбармак
496	6	16.112	бутово
497	6	16.112	вау
498	6	16.112	верно
499	6	16.112	волосы
500	6	16.112	восемнадцать
501	6	16.112	выпускной
502	6	16.112	вышла
503	6	16.112	гончар
504	6	16.112	готовился
505	6	16.112	жигули
506	6	16.112	загрузили
507	6	16.112	запомнила
508	6	16.112	играли
509	6	16.112	идёт
510	6	16.112	книги
511	6	16.112	колесо
512	6	16.112	коллектив
513	6	16.112	кормила
514	6	16.112	культура
515	6	16.112	лагере
516	6	16.112	лингвистике
517	6	16.112	литературу
518	6	16.112	лук
519	6	16.112	любил
520	6	16.112	любимый
521	6	16.112	математике
522	6	16.112	мгм
523	6	16.112	мем
524	6	16.112	молодец
525	6	16.112	мужик
526	6	16.112	немец
527	6	16.112	ногой
528	6	16.112	обед
529	6	16.112	орешки
530	6	16.112	погрей
531	6	16.112	подумала
532	6	16.112	покупайте
533	6	16.112	полу
534	6	16.112	польский
535	6	16.112	понравился
536	6	16.112	поступил
537	6	16.112	преподаватели
